epoch,train_loss,val_loss,val_bal_acc
1,0.6619224990221084,0.6929693559251459,0.5048866708255355
2,0.6552785513078789,0.6921499288414579,0.5113169217972712
3,0.6558197728772591,0.6924902803869362,0.5
4,0.654551672588962,0.6963003227910197,0.507278020378457
5,0.65427415065646,0.705869165787184,0.4932498360445959
6,0.6534714119565378,0.7081945327173667,0.5066301965865285
7,0.6539904516693793,0.7154349055423205,0.5119807412383832
8,0.6506305922501765,0.6947170683587215,0.5317273701553178
9,0.651850676488502,0.7057857969367647,0.4928979317625606
10,0.6518027522167835,0.7046418128260579,0.4859238287185886
11,0.6507544012528025,0.7067058644446719,0.49254602748052534
12,0.6459665238389336,0.7090274598968931,0.48050130364540844
13,0.6473305347667437,0.7072233593321416,0.49170625589839567
14,0.6483123623689926,0.7087195722230402,0.4930418926052114
15,0.6481961805982851,0.7072784836548733,0.48719548282867065
16,0.6477997820644957,0.6958377708001916,0.50271126253659
17,0.6466472446602316,0.7153116381500821,0.49662491802229797
