epoch,train_loss,val_loss,val_bal_acc
1,0.6977637715838453,0.6930297663012349,0.4945054945054945
2,0.6741097485237558,0.6955793818154657,0.5077658876785515
3,0.6676068277766743,0.7026390295579614,0.5002159412639762
4,0.6604154767717952,0.6944281762814617,0.5131244301549979
5,0.6589796606861505,0.7009852421711166,0.5075419485899835
6,0.6598744776606585,0.6956282025314422,0.5167074555720844
7,0.6572772833336292,0.6971054084272499,0.5062782923044932
8,0.6539843291354084,0.6980918598365023,0.5028952125021994
9,0.6560737886627136,0.6985852058190274,0.5072620247292736
10,0.655550040170288,0.6987823202790492,0.506838140025913
11,0.6547773322329611,0.6965831347195751,0.5162115904473983
12,0.6537097414511671,0.69909159572001,0.5087416222787402
13,0.6542946067732559,0.6975052349595909,0.508109794135995
14,0.6558356644518938,0.699996751143163,0.5071900443079482
15,0.6544676701177237,0.7023954044775184,0.5096533742821953
16,0.655252864184765,0.6972920405437272,0.5099412959674968
