epoch,train_loss,val_loss,val_bal_acc
1,0.6602343343610904,0.7085401779152007,0.5019754626741526
2,0.6570141841569525,0.7024541551848332,0.5079658332933442
3,0.6541619209784902,0.700936578184485,0.5128285106451045
4,0.6533388038514248,0.6940359812808702,0.4896028280307756
5,0.6525556024740183,0.6994764997189739,0.5069181182718301
6,0.6520768491270282,0.6978132950357232,0.49396164243325813
7,0.6498660354535342,0.7012873626800172,0.4923380840411408
8,0.6482788502044443,0.701437545725074,0.4920581601804309
9,0.6490218019045363,0.7071846602447479,0.4955772030007838
10,0.645718409975648,0.6973835949403832,0.49115440600156757
11,0.646902472798849,0.7088099473501107,0.5021274213413951
12,0.64417542690131,0.7008824118105064,0.4794535886238943
13,0.6428958586565937,0.7012219319780509,0.4913543516163604
14,0.6400981404815235,0.7101727097157938,0.5035350384695363
15,0.6408737995633143,0.7076912220730724,0.5036070188908617
16,0.640571707263257,0.7077507155824942,0.5053665403010381
17,0.639720667124351,0.707228830848557,0.5036070188908617
18,0.6370990801434241,0.7151426706181104,0.5026872690628149
19,0.634742496260508,0.7148349256629488,0.49141833421309405
