epoch,train_loss,val_loss,val_rmse
1,0.06025021161695157,0.01118136307899933,0.013106291135938917
2,0.0139101892239427,0.005321765337065159,0.008203383406900328
3,0.00977900841247876,0.005247992793639818,0.008202224973708011
4,0.009146653120689538,0.005219359600181836,0.008219611327310894
5,0.008981796578300017,0.00523689699051271,0.008195356610386728
6,0.008683064893803386,0.005234789760018962,0.008204148805540384
7,0.00857132112928669,0.005233361986855349,0.008200086409767974
8,0.008555405272683494,0.005241172881685643,0.008200972333511249
9,0.008536863553563222,0.005236672178148273,0.008203441501653747
10,0.0085309125669182,0.005232895145645417,0.008194990378662914
11,0.008495630011114249,0.005275647512143589,0.008245092441207011
12,0.008481047719712283,0.005230046285546396,0.008194142877891029
13,0.008499784632918912,0.005264091160727212,0.008221699236780757
14,0.008458190658456792,0.005242996700701723,0.008190752442047554
15,0.0084659969100186,0.005242498480228789,0.00820932645278426
16,0.008435073702280154,0.005255089033825464,0.00821815770883308
17,0.008450698280387274,0.005273563453400752,0.008236824065010454
18,0.008448794888047537,0.005230533378384266,0.00818777205149694
19,0.008421699212160164,0.005231498996634407,0.008192240232373284
