epoch,train_loss,val_loss,val_rmse
1,0.36018227809380504,0.03916103891523711,0.05552985928661122
2,0.12342906860745739,0.014862933118207996,0.019868409707704055
3,0.0315271703237476,0.0072192855112521775,0.009556919118059615
4,0.011630724264739989,0.005271317118192574,0.008326583268370904
5,0.009388216601045628,0.006255256149368694,0.008735209457740608
6,0.009365063899906292,0.00585606685687465,0.008654927701811926
7,0.009443975283347153,0.005421575099467281,0.008472731171855336
8,0.00945739801846636,0.005416138980730597,0.008528841163328246
9,0.009233488422855434,0.005503454520200116,0.008278396696600287
10,0.009330993316575185,0.005225035180133652,0.008270333613560943
11,0.009245552910057483,0.0055619950454489165,0.008480878938284309
12,0.009205073607386378,0.005482709666053612,0.008299746869657055
13,0.009409184143170098,0.0052735156034568395,0.00826548248119247
14,0.00914813146594285,0.005975525948660545,0.008605872062507139
15,0.009272695109588046,0.0053139346989383735,0.00835891354773977
16,0.009345300566367908,0.005538754725450301,0.008364180244680714
17,0.009061723605071806,0.005335547809166262,0.008252759652817448
18,0.009063374658988434,0.00529638505299609,0.00827917844927129
19,0.008860835997411875,0.005235113021713566,0.008163486908455402
20,0.008782789379883136,0.005328644185783379,0.008308981603475186
21,0.008842764995555866,0.005329413788459928,0.008261005913923475
22,0.00874317069189161,0.005384117149677409,0.008282440009091877
23,0.008920573948376843,0.005367352144859464,0.008310010456508608
24,0.008782849506606044,0.0052823886141715294,0.008221877998788197
25,0.00883642483977674,0.0052583229865329675,0.00823250160696238
