model,notes,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_balanced_accuracy,validation_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_balanced_accuracy,test_roc_auc
XGBoost,Gradient-boosted tree ensemble (XGBoost); train-only imputation.,0.5099601593625498,0.5584415584415584,0.4725274725274725,0.5119047619047619,0.5135563126829502,0.4921861253738983,0.5327433628318584,0.6159420289855072,0.5182926829268293,0.5629139072847682,0.5355176494802922,0.5453329216836472
MLP,PyTorch MLP (128->64) ReLU drop=0.5; BCEWithLogitsLoss pos_weight; Adam lr=0.001 wd=0.0001.,0.5258964143426295,0.5522388059701493,0.6776556776556777,0.6085526315789473,0.5113169217972712,0.5070460834652974,0.5539823008849557,0.5935960591133005,0.7347560975609756,0.6566757493188011,0.519276782957703,0.5041808171246269
Transformer,1-layer Transformer d_model=32 heads=2 seq=20,0.5378486055776892,0.5410821643286573,0.989010989010989,0.6994818652849741,0.4945054945054945,0.5040868883663644,0.5911504424778761,0.5883424408014571,0.9847560975609756,0.7366020524515393,0.5155847998353401,0.5258696099619223
Logistic Regression,Linear classifier; train-only median imputation and standardisation.,0.4721115537848606,0.5434782608695652,0.18315018315018314,0.273972602739726,0.49987203480653264,0.5003599021066271,0.44601769911504424,0.5714285714285714,0.18292682926829268,0.27713625866050806,0.49652670577338687,0.49809612020170835
LSTM,1-layer LSTM hidden=32 seq=20 drop=0.5,0.4800796812749004,0.5306122448979592,0.38095238095238093,0.44349680170575695,0.4896028280307756,0.5023113713070044,0.4849557522123894,0.5653710247349824,0.4878048780487805,0.5237315875613748,0.4844087681383143,0.5066893073994031
Majority Class,Always predicts the most frequent class in the training set.,0.5438247011952191,0.5438247011952191,1.0,0.704516129032258,0.5,,0.5805309734513274,0.5805309734513274,1.0,0.734602463605823,0.5,
Persistence,Predicts tomorrow's direction matches today's sign of return.,0.50199203187251,0.5421245421245421,0.5421245421245421,0.5421245421245421,0.49813650687013133,,0.4831858407079646,0.5548780487804879,0.5548780487804879,0.5548780487804879,0.4694221467531131,
