model,notes,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
MLP Regressor,PyTorch MLP (128->64) ReLU drop=0.5; MAE loss; Adam lr=0.001 wd=0.0001.,0.00521935967565099,0.008219611471558289,-0.005783678416177107,0.009203522782716125,0.015318086915923202,0.009833795311717686
LSTM Regressor,1-layer LSTM hidden=32 seq=20 drop=0.5; MAE loss,0.0052320100367069244,0.008206980514460328,-0.0026949644088745117,0.009264327585697174,0.015337675264566905,0.00729978084564209
Transformer Regressor,1-layer Transformer d_model=32 heads=2 seq=20; MAE loss,0.005225035361945629,0.008270333613560943,-0.018235087394714355,0.009197920560836792,0.015485211820766372,-0.011890053749084473
XGBoost Regressor,Gradient-boosted tree ensemble (XGBoost Regressor); train-only imputation.,0.00541694903554318,0.008434805343063864,-0.059136984144579685,0.009441374949994238,0.015867549825173757,-0.062475151766388404
Ridge Regression,L2-regularised linear regression; train-only median imputation and standardisation.,0.005366007565749209,0.008248966057836572,-0.012980389318243857,0.009570636042210173,0.015898728238516933,-0.0666546041725038
Historical Mean,Predicts tomorrow's return = training mean (0.00023).,0.005242580365389449,0.008195954110623422,-2.39645661226362e-06,0.009294311889431734,0.015410049307807962,-0.0020908513261075345
Persistence,Predicts tomorrow's return = today's return (first-order autocorrelation).,0.00757173276147489,0.011656606239637409,-1.022768850096627,0.014251348277420913,0.024635690657436538,-1.5611117277324338
