model,accuracy,balanced_accuracy,roc_auc,avg_precision,precision,recall,f1
Logistic Regression,0.44601769911504424,0.49652670577338687,0.49809612020170835,0.5723083375558816,0.5714285714285714,0.18292682926829268,0.27713625866050806
MLP,0.5539823008849557,0.519276782957703,0.5041808171246269,0.5843569821229877,0.5935960591133005,0.7347560975609756,0.6566757493188011
XGBoost,0.5327433628318584,0.5355176494802922,0.5453329216836472,0.6117463926602158,0.6159420289855072,0.5182926829268293,0.5629139072847682
LSTM,0.4849557522123894,0.4844087681383143,0.5066893073994031,0.6033723176089282,0.5653710247349824,0.4878048780487805,0.5237315875613748
Transformer,0.5911504424778761,0.5155847998353401,0.5258696099619223,0.6042067615956205,0.5883424408014571,0.9847560975609756,0.7366020524515393
Majority Class,0.5805309734513274,0.5,,,0.5805309734513274,1.0,0.734602463605823
Persistence,0.4831858407079646,0.4694221467531131,,,0.5548780487804879,0.5548780487804879,0.5548780487804879
